"Institution (City, State)",Sector,Closure year,"Most recently reported total enrollment figures, covering a 12-month period","Most recently reported percentage of Pell Grant recipient students, covering a 12-month period","Most recently reported percentage of undergraduates receiving Pell grants, covering a 12-month period","Most recently reported total female undergraduate enrollment figures, covering a 12-month period","Most recently reported percentage of female students, covering a 12-month period","Most recently reported total minority undergraduate enrollment figures, covering a 12-month period","Most recently reported percentage of minroity students, covering a 12-month period","Most recently reported total American Indian undergraduate enrollment figures, covering a 12-month period","Most recently reported total Asian undergraduate enrollment figures, covering a 12-month period","Most recently reported total Black undergraduate enrollment figures, covering a 12-month period","Most recently reported total Hispanic undergraduate enrollment figures, covering a 12-month period","Most recently reported total Native Hawaiian undergraduate enrollment figures, covering a 12-month period","Most recently reported total White undergraduate enrollment figures, covering a 12-month period","Most recently reported total enrollment figures for undergraduates who disclosed two or more races, covering a 12-month period","Most recently reported total enrollment figures for undergraduates whose race/ethnicity was unknown or unreported, covering a 12-month period","Most recently reported total non-resident alien undergraduate enrollment figures, covering a 12-month period",Academic year: enrollment,Academic year: Pell grants
"Regency Beauty Institute-Rockford (Rockford, IL)",For-profit,2016,149,114,77%,137,92%,30,20%,1,1,25,3,0,41,0,78,0,2015,2015
"Minnesota School of Business-Plymouth (Plymouth, MN)",For-profit,2016,148,56,43%,116,78%,23,16%,1,5,11,6,0,117,0,8,0,2016,2015
"Cosmetology Career Institute (Greenville, TX)",For-profit,2016,148,83,49%,140,95%,28,19%,0,0,14,14,0,120,0,0,0,2016,2015
"Colorado Technical University-Sioux Falls (Sioux Falls, SD)",For-profit,2016,148,57,61%,82,55%,12,8%,2,1,4,2,0,116,3,20,0,2015,2015
"Paul Mitchell the School-Danbury (Danbury, CT)",For-profit,2018,147,63,43%,140,95%,20,14%,0,0,8,12,0,95,0,32,0,2017,2017
"ITT Technical Institute-Green Bay (Green Bay, WI)",For-profit,2016,147,76,70%,44,30%,27,18%,7,5,4,5,0,120,6,0,0,2015,2015
"Regency Beauty Institute-St Peters (St. Peters, MO)",For-profit,2016,147,103,70%,141,96%,26,18%,0,0,23,3,0,59,0,62,0,2015,2015
"National American University-Houston (Houston, TX)",For-profit,2018,147,61,82%,108,73%,123,84%,3,2,95,19,0,17,4,7,0,2017,2017
"CET-Gilroy (Gilroy, CA)",Private nonprofit,2014,146,47,32%,47,32%,141,97%,0,1,0,139,0,5,1,0,0,2014,2014
"Graham Webb International Academy of Hair (Arlington, VA)",For-profit,2018,146,44,30%,138,95%,80,55%,0,6,64,10,0,52,0,14,0,2017,2017
"Paris II Educational Center (Gladstone, MO)",For-profit,2016,146,46,32%,140,96%,62,42%,3,5,35,9,1,84,9,0,0,2015,2015
"Empire Beauty School-Arlington Heights (Arlington Heights, IL)",For-profit,2015,146,75,51%,141,97%,61,42%,0,7,12,42,0,78,0,6,1,2015,2015
"Hollywood Institute of Beauty Careers (North Bay Village, FL)",For-profit,2016,146,95,65%,136,93%,126,86%,0,0,65,60,0,14,1,6,0,2015,2015
"Brown Mackie College-Michigan City (Michigan City, IN)",For-profit,2016,146,92,82%,116,79%,42,29%,0,1,26,12,0,104,3,0,0,2015,2015
"Fortis Institute-Miami (Miami, FL)",For-profit,2015,145,61,47%,82,57%,140,97%,0,1,22,116,0,4,1,1,0,2014,2014
"Phagans School of Hair Design-Portland (Portland, OR)",For-profit,2018,145,111,76%,89,61%,77,53%,1,4,56,15,1,68,0,0,0,2017,2017
"Regency Beauty Institute-El Paso (El Paso, TX)",For-profit,2016,145,123,85%,126,87%,61,42%,1,1,9,50,0,13,0,71,0,2015,2015
"Le Cordon Bleu College of Culinary Arts-St Louis (St Peters, MO)",For-profit,2016,144,59,42%,84,58%,46,32%,4,1,35,4,0,90,2,8,0,2016,2016
"DeVry University-Oregon (Portland, OR)",For-profit,2015,144,35,58%,51,35%,37,26%,3,9,13,10,2,92,0,12,3,2015,2015
"Southeastern Beauty School-Columbus North Lumpkin (Columbus, GA)",For-profit,2014,144,130,90%,132,92%,67,47%,0,0,59,5,0,76,3,1,0,2013,2013
"Regency Beauty Institute-Arlington (Arlington, TX)",For-profit,2016,141,110,78%,138,98%,53,38%,0,2,40,11,0,11,0,77,0,2015,2015
"Sanford-Brown College-Orlando (Orlando, FL)",For-profit,2017,141,77,79%,89,63%,75,53%,0,2,30,39,0,26,4,40,0,2016,2016
"Savannah Law School (Savannah, GA)",For-profit,2018,141,,NA,89,63%,40,28%,4,4,23,8,1,95,0,6,0,2017,NA
"Centura Institute (Orlando, FL)",For-profit,2017,140,33,43%,91,65%,111,79%,0,0,79,23,0,26,9,3,0,2016,2016
"Cut Beauty School (Cleveland Heights, OH)",For-profit,2014,139,119,65%,133,96%,139,100%,0,0,139,0,0,0,0,0,0,2013,2012
"Sanford-Brown College-Chicago (Chicago, IL)",For-profit,2017,139,62,70%,84,60%,88,63%,0,2,74,7,3,12,2,39,0,2016,2016
"University of Phoenix-Maryland (Columbia, MD)",For-profit,2018,138,18,17%,56,41%,62,45%,1,4,52,2,0,32,3,41,3,2017,2017
"Carson City Beauty Academy (Carson City, NV)",For-profit,2014,138,106,77%,131,95%,39,28%,6,5,4,21,0,98,3,1,0,2013,2013
"Sanford-Brown College-Brooklyn Center (Brooklyn Center, MN)",For-profit,2017,138,77,79%,109,79%,38,28%,2,5,29,0,0,11,2,89,0,2016,2016
"Mueller College (San Diego, CA)",For-profit,2016,138,96,90%,71,51%,0,0%,0,0,0,0,0,28,0,110,0,2015,2015
"Sanford-Brown College-Dearborn (Dearborn, MI)",For-profit,2014,136,36,34%,122,90%,18,13%,0,0,15,2,0,15,1,103,0,2014,2014
"University of Phoenix-Washington DC (Washington, DC)",For-profit,2018,135,42,36%,67,50%,79,59%,1,1,66,7,0,7,4,48,1,2017,2017
"Virginia School of Massage (Charlottesville, VA)",For-profit,2018,135,66,49%,112,83%,41,30%,0,4,23,11,0,79,3,15,0,2017,2017
"Hair Design Institute (Apopka, FL)",For-profit,2018,135,82,61%,131,97%,63,47%,0,0,28,30,0,68,5,2,2,2017,2017
"Total Cosmetology Training Center (Spokane, WA)",For-profit,2016,135,95,70%,97,72%,35,26%,7,0,20,5,0,98,3,2,0,2015,2015
"Hollywood Beauty College (Stockton, CA)",For-profit,2014,135,172,74%,130,96%,105,78%,2,7,35,53,4,30,4,0,0,2014,2013
"Erie Business Center-New Castle (New Castle, PA)",For-profit,2014,135,54,87%,102,76%,52,39%,0,0,46,1,0,83,5,0,0,2014,2013
"San Francisco College of Cosmetology (San Francisco, CA)",For-profit,2017,134,11,9%,121,90%,111,83%,0,94,3,11,2,6,1,0,17,2017,2016
"Empire Beauty School-Portsmouth (Portsmouth, NH)",For-profit,2018,134,35,26%,130,97%,6,4%,0,2,0,2,0,127,2,0,1,2017,2017
"Coast Career Institute (Colton, CA)",For-profit,2015,134,45,34%,48,36%,122,91%,1,1,32,88,0,11,0,1,0,2015,2015
"Duluth Business University (Duluth, MN)",For-profit,2018,134,76,61%,122,91%,9,7%,4,1,3,1,0,125,0,0,0,2017,2017
"Regency Beauty Institute-Fairview Heights (Fairview Heights, IL)",For-profit,2016,134,109,81%,128,96%,31,23%,1,0,30,0,0,23,0,80,0,2015,2015
"The Beauty Institute-Schwarzkopf Professional-Bellingham (Bellingham, WA)",For-profit,2017,133,82,62%,127,95%,23,17%,5,1,0,10,2,101,5,9,0,2015,2015
"Le Cordon Bleu College of Culinary Arts-Sacramento (Sacramento, CA)",For-profit,2017,133,217,62%,64,48%,43,32%,0,7,21,6,6,40,3,50,0,2017,2016
"Regency Beauty Institute-Aurora (Aurora, IL)",For-profit,2016,133,83,62%,125,94%,32,24%,0,1,15,16,0,23,0,78,0,2015,2015
"Regency Beauty Institute-Manassas (Manassas, VA)",For-profit,2016,133,95,71%,127,95%,38,29%,0,1,21,16,0,29,0,66,0,2015,2015
"Stautzenberger Institute-Allen Park (Allen Park, MI)",For-profit,2014,133,99,93%,109,82%,103,77%,0,1,89,9,1,30,3,0,0,2014,2014
"Sanford-Brown Institute-Orlando (Orlando, FL)",For-profit,2014,132,44,41%,111,84%,80,61%,0,1,23,53,1,31,2,21,0,2014,2014
"Collins College (Phoenix, AZ)",For-profit,2016,132,66,80%,26,20%,44,33%,4,0,10,26,1,44,3,44,0,2015,2015
"Regency Beauty Institute-North Olmsted (North Olmsted, OH)",For-profit,2016,132,107,81%,127,96%,42,32%,3,0,28,11,0,36,0,54,0,2015,2015
"Regency Beauty Institute-Tinley Park (Tinley Park, IL)",For-profit,2016,132,117,89%,128,97%,42,32%,0,0,42,0,0,4,0,86,0,2015,2015
"Regency Beauty Institute-Greenfield (Greenfield, WI)",For-profit,2016,132,118,89%,120,91%,72,55%,1,1,64,6,0,12,0,48,0,2015,2015
"Remington College-Colorado Springs Campus (Colorado Springs, CO)",Private nonprofit,2014,131,78,68%,104,79%,49,37%,1,4,16,22,0,81,6,1,0,2013,2013
"Regency Beauty Institute-Grand Rapids (Walker, MI)",For-profit,2016,131,101,77%,121,92%,27,21%,1,0,22,4,0,53,0,51,0,2015,2015
"Regency Beauty Institute-Little Rock (Little Rock, AR)",For-profit,2016,131,106,81%,128,98%,70,53%,1,0,66,3,0,24,0,37,0,2015,2015
"Everest College-Portland (Portland, OR)",Private nonprofit,2016,130,118,73%,91,70%,62,48%,5,6,15,22,5,53,9,15,0,2016,2015
"Empire Beauty School-Lakewood (Lakewood, CO)",For-profit,2016,130,101,78%,119,92%,80,62%,4,2,10,63,0,46,1,4,0,2015,2015
"GUTI The Premier Beauty & Wellness Academy (Bradenton, FL)",For-profit,2016,129,76,59%,105,81%,72,56%,0,1,27,43,0,53,1,2,2,2015,2015
"The Art Institute of Ohio-Cincinnati (Cincinnati, OH)",For-profit,2017,129,183,59%,77,60%,37,29%,2,2,21,10,2,87,0,5,0,2017,2016
"InterCoast Colleges-Carson (Carson, CA)",For-profit,2017,129,88,61%,23,18%,101,78%,0,4,34,61,1,15,1,13,0,2017,2016
"Ms Robert's Academy of Beauty Culture-Villa Park (Villa Park, IL)",For-profit,2014,129,170,99%,128,99%,107,83%,0,1,90,16,0,22,0,0,0,2014,2013
"Advanced Institute of Hair Design-Glendale (Glendale, WI)",For-profit,2017,128,73,57%,123,96%,70,55%,1,2,47,12,0,58,8,0,0,2016,2016
"McCann School of Business & Technology (Dickson City, PA)",For-profit,2017,128,52,72%,94,73%,22,17%,0,0,15,6,0,102,1,4,0,2017,2017
"Regency Beauty Institute-Shreveport (Shreveport, LA)",For-profit,2016,128,99,77%,127,99%,38,30%,1,0,37,0,0,44,0,46,0,2015,2015
"Empire Beauty School-Matthews (Matthews, NC)",For-profit,2016,128,105,82%,120,94%,91,71%,1,1,73,13,0,35,3,2,0,2015,2015
"Regency Beauty Institute-Baltimore Golden Ring (Baltimore, MD)",For-profit,2016,128,116,91%,124,97%,48,38%,1,0,47,0,0,15,0,65,0,2015,2015
"Empire Beauty School-Exton (Exton, PA)",For-profit,2015,127,66,52%,122,96%,45,35%,0,1,22,14,1,78,7,4,0,2014,2014
"Regency Beauty Institute-Fort Collins (Fort Collins, CO)",For-profit,2016,127,79,62%,119,94%,17,13%,0,0,1,16,0,68,0,42,0,2015,2015
"Regency Beauty Institute-Maplewood (Maplewood, MN)",For-profit,2016,127,87,69%,121,95%,42,33%,1,11,21,9,0,68,0,17,0,2015,2015
"Brown Mackie College-Northern Kentucky (Fort Mitchell, KY)",For-profit,2016,127,70,80%,98,77%,13,10%,0,0,11,1,1,114,0,0,0,2016,2016
"Tri-State College of Acupuncture (New York, NY)",For-profit,2018,127,,NA,87,69%,45,35%,0,25,12,8,0,69,0,11,2,2017,NA
"Missouri Tech (Saint Charles, MO)",For-profit,2015,126,27,25%,7,6%,9,7%,0,1,6,0,0,117,2,0,0,2014,2014
"Sanford-Brown College-Skokie (Skokie, IL)",For-profit,2014,126,37,35%,110,87%,45,36%,1,10,19,12,3,37,0,44,0,2014,2014
"Le Cordon Bleu College of Culinary Arts-Cambridge (Cambridge, MA)",For-profit,2017,126,178,51%,55,44%,44,35%,0,11,26,6,1,57,0,25,0,2017,2016
"Regency Beauty Institute-Detroit Lakeside (Shelby Township, MI)",For-profit,2016,126,85,67%,119,94%,26,21%,0,0,23,3,0,48,0,52,0,2015,2015
"National Academy of Beauty Arts-Farmington (Farmington, MO)",For-profit,2017,126,90,71%,117,93%,4,3%,1,0,1,1,0,122,1,0,0,2016,2016
"Regency Beauty Institute-Dayton (Dayton, OH)",For-profit,2016,126,105,83%,121,96%,39,31%,0,0,37,2,0,30,0,57,0,2015,2015
"David's Academy of Beauty (Pico Rivera, CA)",For-profit,2017,125,75,42%,101,81%,118,94%,0,6,4,108,0,4,0,1,2,2017,2016
"The Salon Professional Academy-Williston (Williston, VT)",For-profit,2014,125,60,48%,124,99%,9,7%,2,3,3,1,0,116,0,0,0,2013,2013
"The New England Institute of Art (Brookline, MA)",For-profit,2017,125,133,51%,37,30%,57,46%,0,8,25,21,0,45,3,17,6,2017,2016
"Crossroads College (Rochester, MN)",Private nonprofit,2016,124,56,51%,59,48%,29,23%,1,1,20,6,0,78,1,14,3,2015,2015
"Minnesota School of Business-Moorhead (Moorhead, MN)",For-profit,2017,124,59,44%,100,81%,13,10%,2,1,2,8,0,103,0,8,0,2016,2015
"Le Cordon Bleu College of Culinary Arts-Portland (Portland, OR)",For-profit,2017,123,158,47%,61,50%,23,19%,3,8,1,5,3,32,3,68,0,2017,2016
"Ferrara's Beauty School (Forest Hills, NY)",For-profit,2018,123,66,54%,114,93%,73,59%,0,1,18,54,0,37,0,9,4,2017,2017
"Academy of Massage Therapy (Hackensack, NJ)",For-profit,2014,123,76,62%,79,64%,74,60%,0,12,20,41,0,44,1,4,1,2013,2013
"The Beauty Institute Schwarzkopf Professional-Coeur D'Alene (Coeur D'Alene, ID)",For-profit,2017,123,82,67%,115,93%,14,11%,3,1,4,3,0,109,3,0,0,2016,2016
"The Art Institute of Wisconsin (Milwaukee, WI)",For-profit,2017,123,206,70%,68,55%,68,55%,1,9,31,25,1,52,1,3,0,2017,2016
"Regency Beauty Institute-Pasadena (Pasadena, TX)",For-profit,2016,123,91,74%,119,97%,52,42%,0,1,24,27,0,20,0,51,0,2015,2015
"Milan Institute of Cosmetology-Nampa (Nampa, ID)",For-profit,2017,122,86,70%,122,100%,39,32%,3,0,0,33,3,83,0,0,0,2016,2016
"American National University-Stow (Stow, OH)",For-profit,2017,122,44,76%,103,84%,26,21%,1,0,22,0,0,41,3,55,0,2016,2016
"Bryan University (Topeka, KS)",For-profit,2018,122,73,80%,82,67%,56,46%,7,0,29,6,2,66,12,0,0,2017,2017
"Empire Beauty School-Hyannis (Hyannis, MA)",For-profit,2015,121,63,52%,116,96%,19,16%,5,0,7,6,1,95,0,7,0,2014,2014
"Total International Career Institute (Hialeah, FL)",For-profit,2015,121,121,100%,101,83%,121,100%,0,0,0,121,0,0,0,0,0,2014,2014
"Ohio College of Massotherapy Inc (Akron, OH)",Private nonprofit,2016,120,11,15%,99,83%,20,17%,0,0,15,4,0,98,1,2,0,2015,2015
"University of Phoenix-Oregon (Tigard, OR)",For-profit,2017,120,42,41%,78,65%,29,24%,0,3,3,15,3,68,5,21,2,2017,2017
"Empire Beauty School-Madison (Madison, WI)",For-profit,2014,120,83,69%,112,93%,61,51%,1,2,49,7,1,56,1,3,0,2014,2014
"Regency Beauty Institute-East Tucson (Tucson, AZ)",For-profit,2016,120,84,70%,117,98%,16,13%,0,0,1,15,0,20,0,84,0,2015,2015
"West Virginia Business College-Wheeling (Wheeling, WV)",For-profit,2017,120,104,94%,90,75%,0,0%,0,0,0,0,0,120,0,0,0,2016,2016
"National Personal Training Institute (Vienna, VA)",For-profit,2018,119,26,22%,38,32%,81,68%,3,4,48,13,2,36,11,2,0,2017,2017
"Instituto de Educacion Tecnica Ocupacional La Reine-Aguadilla (Aguadilla, PR)",For-profit,2016,119,119,100%,91,76%,119,100%,0,0,0,119,0,0,0,0,0,2016,2016
"Akron School of Practical Nursing (Akron, OH)",Public,2018,118,48,41%,107,91%,78,66%,0,0,78,0,0,38,0,2,0,2017,2017
"Tennessee Academy of Cosmetology-Shelby Drive (Memphis, TN)",For-profit,2018,118,68,58%,109,92%,94,80%,0,4,83,5,0,23,2,1,0,2017,2017
"Prince Institute-Rocky Mountains (Westminster, CO)",For-profit,2014,118,27,69%,117,99%,4,3%,0,0,2,1,1,113,0,1,0,2014,2014
"Regency Beauty Institute-Castleton (Indianapolis, IN)",For-profit,2016,118,93,79%,113,96%,58,49%,0,0,56,2,0,9,0,51,0,2015,2015
"Bryan University (Columbia, MO)",For-profit,2018,118,70,95%,86,73%,53,45%,0,0,47,0,0,60,6,5,0,2017,2017
"Colorado Heights University (Denver, CO)",Private nonprofit,2017,117,0,0%,66,56%,11,9%,0,3,1,5,0,1,2,2,103,2017,2016
"National American University-Austin South (Austin, TX)",For-profit,2017,117,17,22%,76,65%,64,55%,1,0,29,31,1,48,2,5,0,2017,2017
"Tennessee Academy of Cosmetology-Stage Road (Memphis, TN)",For-profit,2018,116,70,60%,112,97%,85,73%,0,2,76,5,0,27,2,4,0,2017,2017
"National American University-Weldon Spring (Weldon Spring, MO)",For-profit,2016,116,60,80%,78,67%,58,50%,1,0,47,0,0,57,10,1,0,2015,2015
"Regency Beauty Institute-Mesquite (Mesquite, TX)",For-profit,2016,116,99,85%,113,97%,33,28%,1,0,21,11,0,13,0,70,0,2015,2015
"Empire Beauty School-St Paul (Saint Paul, MN)",For-profit,2015,116,102,88%,109,94%,89,77%,10,7,56,7,0,20,9,7,0,2014,2014
"Hair Fashions By Kaye Beauty College-Indianapolis (Indianapolis, IN)",For-profit,2016,116,135,99%,53,46%,103,89%,0,1,102,0,0,12,0,1,0,2016,2015
"Regency Beauty Institute-Greenwood (Indianapolis, IN)",For-profit,2016,115,87,76%,109,95%,8,7%,0,2,5,1,0,58,0,49,0,2015,2015
"Regency Beauty Institute-Champaign (Champaign, IL)",For-profit,2016,115,89,77%,107,93%,14,12%,0,0,14,0,0,33,0,68,0,2015,2015
"Regina's College of Beauty-Charlotte (Charlotte, NC)",For-profit,2016,114,69,61%,96,84%,114,100%,0,0,114,0,0,0,0,0,0,2015,2015
"National American University-Tigard (Tigard, OR)",For-profit,2016,114,58,91%,72,63%,37,32%,8,0,13,4,2,77,10,0,0,2015,2015
"National College-Willoughby Hills (Willoughby Hills, OH)",For-profit,2016,114,60,91%,81,71%,92,81%,0,0,87,1,0,11,4,11,0,2014,2014
"Consolidated School of Business-Lancaster (Lancaster, PA)",For-profit,2017,114,108,95%,92,81%,83,73%,0,10,8,65,0,28,0,3,0,2016,2016
"Broadview University-Orem (Orem, UT)",For-profit,2016,113,65,62%,81,72%,18,16%,0,0,1,17,0,91,0,4,0,2016,2015
"The Art Institutes International - Kansas City (Lenexa, KS)",For-profit,2017,113,117,64%,60,53%,34,30%,2,0,16,9,1,78,6,1,0,2017,2016
"Sanford-Brown Institute-Wilkins Township (Pittsburgh, PA)",For-profit,2014,113,62,66%,104,92%,14,12%,0,0,14,0,0,48,0,51,0,2014,2014
"HackensackUMC Mountainside School of Nursing (Montclair, NJ)",For-profit,2016,112,38,32%,96,86%,43,38%,0,8,22,13,0,66,0,3,0,2015,2015
"Du Bois Business College-Huntingdon (Huntingdon, PA)",For-profit,2016,112,26,33%,101,90%,2,2%,0,1,1,0,0,110,0,0,0,2015,2015
"Pat Wilson's Beauty College (Henderson, KY)",For-profit,2015,112,39,35%,110,98%,45,40%,0,0,44,1,0,67,0,0,0,2015,2015
"Regency Beauty Institute-St Cloud (Waite Park, MN)",For-profit,2016,112,75,67%,107,96%,16,14%,0,1,7,8,0,87,0,9,0,2015,2015
"MJ's Beauty Academy Inc (Dallas, TX)",For-profit,2018,112,70,72%,109,97%,112,100%,0,0,111,1,0,0,0,0,0,2017,2016
"Empire Beauty School-Jersey City (Jersey City, NJ)",For-profit,2016,112,88,79%,101,90%,106,95%,0,5,63,32,0,6,6,0,0,2015,2015
"Eureka Institute of Health and Beauty (Miami, FL)",For-profit,2016,111,60,54%,94,85%,111,100%,0,0,0,111,0,0,0,0,0,2015,2015
"DeVry University-Kentucky (Louisville, KY)",For-profit,2014,111,38,58%,46,41%,38,34%,1,0,26,6,1,65,4,8,0,2014,2014
"National American University-Westwood Teach-Out Site (Aurora, CO)",For-profit,2017,111,45,61%,38,34%,37,33%,2,0,30,4,1,40,0,34,0,2017,2017
"American School of Business (Shreveport, LA)",For-profit,2016,111,88,79%,58,52%,96,86%,0,1,91,3,0,15,1,0,0,2015,2015
"Regency Beauty Institute-Peoria (Peoria, IL)",For-profit,2016,111,92,83%,107,96%,17,15%,0,0,13,4,0,13,0,81,0,2015,2015
"The Art Institutes of York-PA (York, PA)",For-profit,2017,110,115,53%,66,60%,41,37%,1,1,17,21,1,68,0,1,0,2017,2016
"Regency Beauty Institute-Austin (Austin, TX)",For-profit,2016,110,84,76%,102,93%,37,34%,1,0,17,19,0,16,0,57,0,2015,2015
"Daymar College-Madisonville (Madisonville, KY)",For-profit,2016,110,46,92%,93,85%,8,7%,0,0,6,0,0,102,2,0,0,2016,2016
"Minneapolis Media Institute (Edina, MN)",For-profit,2017,109,48,56%,25,23%,38,35%,2,4,17,9,0,61,6,10,0,2017,2017
"Regency Beauty Institute-Eastgate (Cincinnati, OH)",For-profit,2016,109,88,81%,102,94%,5,5%,0,0,5,0,0,58,0,46,0,2015,2015
"Pace Institute (Reading, PA)",For-profit,2014,109,61,88%,88,81%,90,83%,0,1,12,71,0,19,6,0,0,2014,2014
"California College of Vocational Careers (Bakersfield, CA)",For-profit,2014,108,53,41%,91,84%,82,76%,0,4,15,60,1,24,2,2,0,2013,2013
"Masters of Cosmetology College (Fort Wayne, IN)",For-profit,2016,108,57,53%,104,96%,21,19%,1,0,8,5,0,85,7,2,0,2015,2015
"Minnesota School of Business-Brooklyn Center (Brooklyn Center, MN)",For-profit,2016,108,82,75%,81,75%,72,67%,1,12,53,6,0,33,0,3,0,2016,2015
"Chicago ORT Technical Institute (Skokie, IL)",Private nonprofit,2017,106,76,72%,52,49%,48,45%,0,10,16,19,0,58,3,0,0,2016,2016
"Empire Beauty School-Prescott (Prescott, AZ)",For-profit,2016,106,83,78%,102,96%,24,23%,1,0,1,18,1,81,3,1,0,2015,2015
"Regency Beauty Institute-Independence (Kansas City, MO)",For-profit,2016,106,93,88%,102,96%,26,25%,0,2,22,2,0,26,0,54,0,2015,2015
"Remington College-Houston Campus (Houston, TX)",Private nonprofit,2016,105,55,69%,84,80%,97,92%,0,5,57,35,0,8,0,0,0,2016,2016
"Regency Beauty Institute-North Nashville (Madison, TN)",For-profit,2016,105,82,78%,102,97%,30,29%,0,0,26,4,0,37,0,38,0,2015,2015
"Regency Beauty Institute-Roanoke (Roanoke, VA)",For-profit,2016,105,89,85%,99,94%,14,13%,0,0,12,2,0,30,0,61,0,2015,2015
"MediaTech Institute-Austin (Austin, TX)",For-profit,2016,105,94,90%,12,11%,70,67%,0,0,35,22,1,35,12,0,0,2016,2016
"ICC Technical Institute (Houston, TX)",Private nonprofit,2014,104,64,62%,81,78%,95,91%,0,71,15,9,0,9,0,0,0,2013,2013
"Dewey University-Hatillo (Hatillo, PR)",Private nonprofit,2016,104,80,95%,69,66%,104,100%,0,0,0,104,0,0,0,0,0,2016,2016
"Carousel Beauty College-Springfield (Springfield, OH)",For-profit,2016,104,62,60%,102,98%,24,23%,0,0,17,2,0,80,5,0,0,2015,2015
"Advanced Institute of Hair Design-Madison (Madison, WI)",For-profit,2015,103,48,37%,97,94%,16,16%,1,1,3,6,1,87,4,0,0,2014,2014
"Velvet Touch Academy of Cosmetology (Nampa, ID)",For-profit,2015,103,59,57%,100,97%,31,30%,1,0,0,29,1,72,0,0,0,2014,2014
"Sierra Valley College of Court Reporting (Fresno, CA)",For-profit,2017,103,54,68%,96,93%,47,46%,0,3,5,39,0,56,0,0,0,2016,2016
"Daymar College-Louisville (Louisville, KY)",For-profit,2014,102,14,67%,79,77%,48,47%,0,0,37,4,0,53,7,1,0,2015,2015
"Sanford-Brown College-Mendota Heights (Mendota Heights, MN)",For-profit,2017,101,45,65%,41,41%,23,23%,2,9,9,3,0,31,0,47,0,2016,2016
"Cambridge Junior College-Woodland (Woodland, CA)",For-profit,2018,101,75,75%,92,91%,83,82%,0,6,3,71,1,17,2,1,0,2017,2016
"Regency Beauty Institute-Joliet (Joliet, IL)",For-profit,2016,101,82,81%,95,94%,32,32%,0,0,27,5,0,13,0,56,0,2015,2015
"The Hair Design School-Durham (Durham, NC)",For-profit,2014,101,85,84%,94,93%,88,87%,2,0,84,1,0,8,1,5,0,2014,2014
"Regency Beauty Institute-Durham (Durham, NC)",For-profit,2016,101,93,92%,95,94%,38,38%,0,0,37,1,0,5,0,58,0,2015,2015
"Regency Beauty Institute-Lakewood (Lakewood, CO)",For-profit,2016,100,71,71%,97,97%,18,18%,0,1,3,14,0,34,0,48,0,2015,2015
"Remington College-Cleveland West Campus (North Olmsted, OH)",Private nonprofit,2014,99,24,33%,72,73%,28,28%,0,1,13,10,0,71,4,0,0,2014,2014
"Abington Memorial Hospital Dixon School of Nursing (Willow Grove, PA)",Private nonprofit,2017,99,90,41%,89,90%,35,35%,0,7,20,4,0,60,4,4,0,2017,2016
"Regency Beauty Institute-Crystal Lake (Crystal Lake, IL)",For-profit,2016,99,46,46%,96,97%,3,3%,0,0,1,2,0,35,0,61,0,2015,2015
"The Beauty Institute Schwarzkopf Professional-Bellingham (Bellingham, WA)",For-profit,2017,99,46,46%,93,94%,21,21%,2,2,4,3,1,70,9,8,0,2016,2016
"Regency Beauty Institute-Elgin (Elgin, IL)",For-profit,2016,99,59,60%,93,94%,17,17%,0,0,10,7,0,20,0,62,0,2015,2015
"American Health Institute (Port Richey, FL)",For-profit,2016,99,91,92%,90,91%,39,39%,0,3,16,20,0,56,0,4,0,2015,2015
"Bryan College-Gold River (Gold River, CA)",For-profit,2016,98,47,48%,35,36%,36,37%,4,4,12,16,0,46,0,16,0,2015,2015
"Career Training Academy-Pittsburgh (Pittsburgh, PA)",For-profit,2018,98,65,66%,91,93%,32,33%,0,2,29,1,0,66,0,0,0,2017,2017
"Regency Beauty Institute-North Tucson (Tucson, AZ)",For-profit,2016,98,73,74%,94,96%,15,15%,0,0,1,14,0,16,0,67,0,2015,2015
"American National University-Columbus (Columbus, OH)",For-profit,2017,97,33,65%,64,66%,72,74%,0,1,67,2,0,15,2,9,1,2016,2016
"Carousel Beauty College-Kettering (Kettering, OH)",For-profit,2016,96,49,51%,96,100%,24,25%,1,6,15,0,1,72,1,0,0,2015,2015
"Manchester Beauty College (Fresno, CA)",For-profit,2015,96,77,80%,92,96%,78,81%,4,10,11,53,0,18,0,0,0,2014,2014
"Hair Design Institute (Boynton Beach, FL)",For-profit,2018,95,47,49%,84,88%,41,43%,0,0,13,23,2,52,3,1,1,2017,2017
"Margaret's Hair Academy Inc (Monticello, AR)",For-profit,2016,95,48,66%,90,95%,13,14%,0,0,13,0,0,34,0,0,48,2016,2015
"Eastern Hills Academy of Hair Design (Cincinnati, OH)",For-profit,2015,95,82,86%,92,97%,15,16%,0,1,12,2,0,80,0,0,0,2014,2014
"Evergreen Beauty and Barber College-Bellevue (Bellevue, WA)",For-profit,2018,94,42,45%,90,96%,32,34%,0,11,9,6,0,61,6,1,0,2017,2017
"The Art Institute of Salt Lake City (Draper, UT)",For-profit,2017,94,126,60%,41,44%,17,18%,1,2,1,13,0,70,0,5,2,2017,2016
"Salon Academy (Coldwater, MI)",For-profit,2018,94,84,89%,90,96%,8,9%,0,0,6,2,0,86,0,0,0,2017,2017
